time bessellux bessellb bessellv bessellr
4.5 -.36 -.36 -.36 -.36
10 -.355 -.355 -.355 -.355
15 -.36 -.36 -.36 -.36
20 -.37 -.37 -.37 -.37
40 -.47 -.45 -.43 -.42
55 -.48 -.465 -.44 -.405
70 -.51 -.475 -.45 -.42
90 -.545 -.485 -.47 -.445
