  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S2                177.39772    22.39578  56994.013   F125W   inf     2.3029   0.1977     25.3245   0.0932     AB   26.2302   0.0022 0.0164  refsdal_f125w_e11-e00_sub_masked.fits
S2                177.39772    22.39578  57005.862   F125W   inf     2.8167   0.1141     25.1059   0.0440     AB   26.2302   0.0027 0.0101  refsdal_f125w_e12-e00_sub_masked.fits
S2                177.39772    22.39578  56999.816   F125W   inf     2.3113   0.1071     25.3206   0.0503     AB   26.2302   0.0015 0.0138  refsdal_f125w_e13-e00_sub_masked.fits
S2                177.39772    22.39578  57005.862   F125W   inf     2.8282   0.1056     25.1014   0.0405     AB   26.2302   0.0027 0.0113  refsdal_f125w_e15-e00_sub_masked.fits
S2                177.39772    22.39578  57019.942   F125W   inf     2.6859   0.2775     25.1575   0.1122     AB   26.2302   0.0012 0.0245  refsdal_f125w_e18-e00_sub_masked.fits
S2                177.39772    22.39578  57021.301   F125W   inf     3.1069   0.2577     24.9994   0.0900     AB   26.2302   0.0026 0.0221  refsdal_f125w_e19-e00_sub_masked.fits
S2                177.39772    22.39578  57025.811   F125W   inf     3.0206   0.1982     25.0300   0.0712     AB   26.2302   0.0032 0.0160  refsdal_f125w_e21-e00_sub_masked.fits
S2                177.39772    22.39578  57026.905   F125W   inf     3.3809   0.3428     24.9076   0.1101     AB   26.2302   0.0032 0.0270  refsdal_f125w_e22-e00_sub_masked.fits
S2                177.39772    22.39578  57019.942   F125W   inf     2.7493   0.3224     25.1322   0.1273     AB   26.2302   0.0010 0.0252  refsdal_f125w_e23-e00_sub_masked.fits
S2                177.39772    22.39578  57029.544   F125W   inf     3.0110   0.1083     25.0334   0.0390     AB   26.2302   0.0030 0.0102  refsdal_f125w_e24-e00_sub_masked.fits
S2                177.39772    22.39578  57033.945   F125W   inf     3.7236   0.1680     24.8028   0.0490     AB   26.2302  -0.0002 0.0152  refsdal_f125w_e25-e00_sub_masked.fits
S2                177.39772    22.39578  57036.599   F125W   inf     4.1669   0.2201     24.6807   0.0574     AB   26.2302   0.0017 0.0157  refsdal_f125w_e26-e00_sub_masked.fits
S2                177.39772    22.39578  57044.689   F125W   inf     4.0275   0.1706     24.7176   0.0460     AB   26.2302  -0.0004 0.0147  refsdal_f125w_e27-e00_sub_masked.fits
S2                177.39772    22.39578  57049.198   F125W   inf     3.9994   0.1729     24.7252   0.0469     AB   26.2302   0.0003 0.0163  refsdal_f125w_e28-e00_sub_masked.fits
S2                177.39772    22.39578  57062.359   F125W   inf     4.4561   0.1473     24.6078   0.0359     AB   26.2302   0.0019 0.0146  refsdal_f125w_e29-e00_sub_masked.fits
S2                177.39772    22.39578  57076.391   F125W   inf     4.6262   0.1865     24.5672   0.0438     AB   26.2302   0.0017 0.0146  refsdal_f125w_e30-e00_sub_masked.fits
S2                177.39772    22.39578  57090.387   F125W   inf     5.0145   0.1661     24.4797   0.0360     AB   26.2302  -0.0002 0.0149  refsdal_f125w_e31-e00_sub_masked.fits
S2                177.39772    22.39578  57104.270   F125W   inf     2.5906   0.1796     25.1967   0.0753     AB   26.2302   0.0005 0.0143  refsdal_f125w_e32-e00_sub_masked.fits
S2                177.39772    22.39578  57118.141   F125W   inf     2.8706   0.1629     25.0853   0.0616     AB   26.2302  -0.0004 0.0139  refsdal_f125w_e33-e00_sub_masked.fits
S2                177.39772    22.39578  57132.086   F125W   inf     4.9123   0.2551     24.5020   0.0564     AB   26.2302   0.0024 0.0193  refsdal_f125w_e34-e00_sub_masked.fits
S2                177.39772    22.39578  57076.391   F125W   inf     4.7152   0.1420     24.5465   0.0327     AB   26.2302   0.0019 0.0151  refsdal_f125w_e35-e00_sub_masked.fits
S2                177.39772    22.39578  57090.387   F125W   inf     4.9963   0.1615     24.4836   0.0351     AB   26.2302  -0.0004 0.0164  refsdal_f125w_e36-e00_sub_masked.fits
S2                177.39772    22.39578  57104.270   F125W   inf     2.2889   0.2008     25.3311   0.0952     AB   26.2302   0.0003 0.0165  refsdal_f125w_e37-e00_sub_masked.fits
S2                177.39772    22.39578  57149.055   F125W   inf     4.7787   0.2222     24.5319   0.0505     AB   26.2302   0.0008 0.0188  refsdal_f125w_e38-e00_sub_masked.fits
S2                177.39772    22.39578  57132.086   F125W   inf     4.9236   0.2071     24.4995   0.0457     AB   26.2302   0.0024 0.0195  refsdal_f125w_e39-e00_sub_masked.fits
S2                177.39772    22.39578  57188.170   F125W   inf     4.0430   0.2675     24.7135   0.0718     AB   26.2302   0.0062 0.0165  refsdal_f125w_e40-e00_sub_masked.fits
S2                177.39772    22.39578  57216.204   F125W   inf     3.3360   0.2733     24.9222   0.0889     AB   26.2302   0.0034 0.0231  refsdal_f125w_e42-e00_sub_despiked.fits
S2                177.39772    22.39578  57223.959   F125W   inf     3.2742   0.1627     24.9424   0.0540     AB   26.2302   0.0028 0.0233  refsdal_f125w_e43-e00_sub_despiked.fits
S2                177.39772    22.39578  57325.824   F125W   inf     0.7991   0.1750     26.4737   0.2377     AB   26.2302   0.0004 0.0161  refsdal_f125w_e44-e00_sub_masked.fits
S2                177.39772    22.39578  57340.937   F125W   inf     0.9209   0.1577     26.3197   0.1859     AB   26.2302   0.0004 0.0175  refsdal_f125w_e45-e00_sub_masked.fits
S2                177.39772    22.39578  57367.044   F125W   inf     0.9308   0.1442     26.3080   0.1682     AB   26.2302   0.0006 0.0156  refsdal_f125w_e46-e00_sub_masked.fits
S2                177.39772    22.39578  57402.112   F125W   inf     0.8644   0.1496     26.3884   0.1879     AB   26.2302  -0.0006 0.0152  refsdal_f125w_e47-e00_sub_masked.fits
S2                177.39772    22.39578  57428.433   F125W   inf     0.8434   0.1442     26.4151   0.1857     AB   26.2302  -0.0014 0.0126  refsdal_f125w_e48-e00_sub_masked.fits
S2                177.39772    22.39578  57444.575   F125W   inf     0.6855   0.1395     26.6402   0.2209     AB   26.2302   0.0007 0.0139  refsdal_f125w_e49-e00_sub_masked.fits
S2                177.39772    22.39578  57459.026   F125W   inf     0.4701   0.1488     27.0498   0.3438     AB   26.2302   0.0004 0.0155  refsdal_f125w_e50-e00_sub_masked.fits
S2                177.39772    22.39578  57472.528   F125W   inf     0.5681   0.1976     26.8441   0.3776     AB   26.2302   0.0019 0.0161  refsdal_f125w_e51-e00_sub_masked.fits
S2                177.39772    22.39578  57493.261   F125W   inf     0.6347   0.1721     26.7239   0.2945     AB   26.2302   0.0001 0.0160  refsdal_f125w_e52-e00_sub_masked.fits
S2                177.39772    22.39578  57507.527   F125W   inf     0.3643   0.1927     27.3266   0.5744     AB   26.2302   0.0010 0.0152  refsdal_f125w_e53-e00_sub_masked.fits
S2                177.39772    22.39578  57521.267   F125W   inf     0.2725   0.1599     27.6416   0.6370     AB   26.2302   0.0007 0.0153  refsdal_f125w_e54-e00_sub_masked.fits
S2                177.39772    22.39578  57524.475   F125W   inf     0.2753   0.1521     27.6306   0.5996     AB   26.2302   0.0012 0.0151  refsdal_f125w_e55-e00_sub_masked.fits
S2                177.39772    22.39578  57524.607   F125W   inf     0.3420   0.1419     27.3952   0.4506     AB   26.2302   0.0024 0.0119  refsdal_f125w_e56-e00_sub_masked.fits
S2                177.39772    22.39578  57527.183   F125W   inf     0.3055   0.1658     27.5176   0.5893     AB   26.2302   0.0013 0.0154  refsdal_f125w_e57-e00_sub_masked.fits
S2                177.39772    22.39578  57532.018   F125W   inf     0.6232   0.2249     26.7437   0.3918     AB   26.2302   0.0032 0.0177  refsdal_f125w_e58-e00_sub_masked.fits
S2                177.39772    22.39578  57534.270   F125W   inf     0.3927   0.1489     27.2449   0.4117     AB   26.2302   0.0008 0.0160  refsdal_f125w_e59-e00_sub_masked.fits
S2                177.39772    22.39578  57536.058   F125W   inf     0.5306   0.1836     26.9182   0.3756     AB   26.2302   0.0011 0.0167  refsdal_f125w_e60-e00_sub_masked.fits
S2                177.39772    22.39578  57537.052   F125W   inf     0.4924   0.1525     26.9995   0.3362     AB   26.2302   0.0013 0.0159  refsdal_f125w_e61-e00_sub_masked.fits
S2                177.39772    22.39578  57538.310   F125W   inf     0.5802   0.1515     26.8213   0.2835     AB   26.2302  -0.0013 0.0160  refsdal_f125w_e62-e00_sub_masked.fits
S2                177.39772    22.39578  57541.093   F125W   inf     0.4288   0.1395     27.1495   0.3532     AB   26.2302   0.0007 0.0147  refsdal_f125w_e63-e00_sub_masked.fits
S2                177.39772    22.39578  57545.067   F125W   inf     0.0991   0.3671     28.7403   4.0223     AB   26.2302   0.0045 0.0180  refsdal_f125w_e64-e00_sub_masked.fits
S2                177.39772    22.39578  57547.054   F125W   inf     0.0439   0.3878     29.6244   9.5930     AB   26.2302   0.0077 0.0185  refsdal_f125w_e65-e00_sub_masked.fits
S2                177.39772    22.39578  57549.005   F125W   inf     0.2408   0.3257     27.7761   1.4687     AB   26.2302   0.0048 0.0171  refsdal_f125w_e66-e00_sub_masked.fits
S2                177.39772    22.39578  57550.039   F125W   inf     0.3865   0.2581     27.2624   0.7251     AB   26.2302   0.0040 0.0171  refsdal_f125w_e67-e00_sub_masked.fits
S2                177.39772    22.39578  57551.666   F125W   inf     0.2830   0.2860     27.6006   1.0970     AB   26.2302   0.0057 0.0181  refsdal_f125w_e68-e00_sub_masked.fits
S2                177.39772    22.39578  57553.731   F125W   inf     0.1723   0.3066     28.1392   1.9316     AB   26.2302   0.0068 0.0175  refsdal_f125w_e69-e00_sub_masked.fits
S2                177.39772    22.39578  57555.907   F125W   inf     0.2595   0.1889     27.6950   0.7902     AB   26.2302   0.0074 0.0196  refsdal_f125w_e70-e00_sub_masked.fits
S2                177.39772    22.39578  57557.498   F125W   inf     0.3715   0.2779     27.3054   0.8122     AB   26.2302   0.0075 0.0171  refsdal_f125w_e71-e00_sub_masked.fits
S2                177.39772    22.39578  57566.203   F125W   inf     0.0282   0.2882     30.1040  11.0910     AB   26.2302   0.0038 0.0220  refsdal_f125w_e72-e00_sub_despiked.fits
S2                177.39772    22.39578  57569.250   F125W   inf     0.2850   0.2475     27.5933   0.9431     AB   26.2302   0.0021 0.0212  refsdal_f125w_e73-e00_sub_despiked.fits
S2                177.39772    22.39578  56971.993   F140W   inf     2.3689   0.2620     25.5159   0.1201     AB   26.4523   0.0035 0.0196  refsdal_f140w_e02-e00_sub_masked.fits
S2                177.39772    22.39578  56982.116   F140W   inf     2.6907   0.1843     25.3776   0.0744     AB   26.4523   0.0022 0.0108  refsdal_f140w_e03-e00_sub_masked.fits
S2                177.39772    22.39578  56983.177   F140W   inf     2.9090   0.1642     25.2929   0.0613     AB   26.4523   0.0022 0.0122  refsdal_f140w_e04-e00_sub_masked.fits
S2                177.39772    22.39578  56984.836   F140W   inf     2.7499   0.1357     25.3540   0.0536     AB   26.4523   0.0027 0.0121  refsdal_f140w_e05-e00_sub_masked.fits
S2                177.39772    22.39578  56983.177   F140W   inf     2.5918   0.1516     25.4183   0.0635     AB   26.4523   0.0017 0.0142  refsdal_f140w_e06-e00_sub_masked.fits
S2                177.39772    22.39578  56984.836   F140W   inf     2.5472   0.1748     25.4372   0.0745     AB   26.4523   0.0027 0.0126  refsdal_f140w_e07-e00_sub_masked.fits
S2                177.39772    22.39578  56990.911   F160W   inf     1.9891   0.1838     25.1996   0.1003     AB   25.9462   0.0019 0.0134  refsdal_f160w_e06-e00_sub_masked.fits
S2                177.39772    22.39578  56992.967   F160W   inf     2.0794   0.2103     25.1514   0.1098     AB   25.9462   0.0001 0.0138  refsdal_f160w_e07-e00_sub_masked.fits
S2                177.39772    22.39578  56994.028   F160W   inf     2.3424   0.1657     25.0221   0.0768     AB   25.9462   0.0013 0.0128  refsdal_f160w_e08-e00_sub_masked.fits
S2                177.39772    22.39578  56996.747   F160W   inf     2.3077   0.2054     25.0383   0.0966     AB   25.9462   0.0026 0.0139  refsdal_f160w_e09-e00_sub_masked.fits
S2                177.39772    22.39578  56999.831   F160W   inf     2.3427   0.1413     25.0219   0.0655     AB   25.9462   0.0011 0.0107  refsdal_f160w_e10-e00_sub_masked.fits
S2                177.39772    22.39578  57002.885   F160W   inf     2.4932   0.1306     24.9544   0.0569     AB   25.9462   0.0019 0.0083  refsdal_f160w_e11-e00_sub_masked.fits
S2                177.39772    22.39578  57006.999   F160W   inf     2.5593   0.1256     24.9259   0.0533     AB   25.9462   0.0022 0.0086  refsdal_f160w_e12-e00_sub_masked.fits
S2                177.39772    22.39578  57011.910   F160W   inf     2.6984   0.1400     24.8684   0.0563     AB   25.9462   0.0023 0.0084  refsdal_f160w_e13-e00_sub_masked.fits
S2                177.39772    22.39578  57014.896   F160W   inf     2.7737   0.1080     24.8386   0.0423     AB   25.9462   0.0021 0.0084  refsdal_f160w_e14-e00_sub_masked.fits
S2                177.39772    22.39578  57015.825   F160W   inf     2.7847   0.1215     24.8343   0.0474     AB   25.9462   0.0020 0.0084  refsdal_f160w_e15-e00_sub_masked.fits
S2                177.39772    22.39578  57016.791   F160W   inf     2.8553   0.1860     24.8071   0.0707     AB   25.9462  -0.0010 0.0171  refsdal_f160w_e16-e00_sub_masked.fits
