time band flux fluxerr zp zpsys image
25.263157894736842 F110W 0.8916351479423336 1.0512106184496903 25 AB image_2
42.10526315789473 F110W 2.9704945806862977 1.0920083628941697 25 AB image_2
50.526315789473685 F110W 5.125446201066111 1.0239263604333309 25 AB image_2
58.94736842105263 F110W 9.331272814496078 1.0416393654701892 25 AB image_2
67.36842105263158 F110W 11.227383832794908 1.0310873197932375 25 AB image_2
75.78947368421052 F110W 10.49125880664244 1.0682841003702566 25 AB image_2
84.21052631578947 F110W 7.093145938704077 1.0240099003306167 25 AB image_2
92.63157894736841 F110W 7.588692610394482 1.0601980392594197 25 AB image_2
101.05263157894737 F110W 2.8235336157151285 1.0749546001336903 25 AB image_2
109.47368421052632 F110W 3.312180287891536 1.0352772644991284 25 AB image_2
117.89473684210526 F110W 2.9243625019532304 1.0729173919240693 25 AB image_2
126.3157894736842 F110W 0.8670675937984188 1.0632278912048507 25 AB image_2
134.73684210526315 F110W 1.427895404070762 1.0055904901398742 25 AB image_2
143.1578947368421 F110W 2.2451304178284515 1.058272158786338 25 AB image_2
151.57894736842104 F110W 0.8451700294104497 1.0280429757537013 25 AB image_2
42.10526315789473 F160W 0.6167253594857489 1.0809394491120445 25 AB image_2
50.526315789473685 F160W 3.749038736469214 1.0409824173811835 25 AB image_2
58.94736842105263 F160W 6.270307593177163 1.0398206031862518 25 AB image_2
67.36842105263158 F160W 8.930527015703168 1.0591289260878096 25 AB image_2
75.78947368421052 F160W 7.933271215536124 1.1130631893042704 25 AB image_2
84.21052631578947 F160W 7.1838948361226755 1.1141157719557282 25 AB image_2
92.63157894736841 F160W 6.274647567623518 1.080140503544853 25 AB image_2
101.05263157894737 F160W 3.8233401696620417 1.1011559678575866 25 AB image_2
109.47368421052632 F160W 4.021289856047521 1.0945558599231264 25 AB image_2
117.89473684210526 F160W 6.1641114946095055 1.0471621171152206 25 AB image_2
126.3157894736842 F160W 4.332727743949058 1.017714701228428 25 AB image_2
134.73684210526315 F160W 0.9991995084222847 1.0709220422514931 25 AB image_2
143.1578947368421 F160W 1.475028136622698 1.0594704206107983 25 AB image_2
151.57894736842104 F160W 1.6507263041551385 1.0387214058430063 25 AB image_2
160.0 F160W 2.190738280417216 1.0247687421161105 25 AB image_2
