time band flux fluxerr zp zpsys image
0.0 F110W 7.62584933633316 1.0755597651249478 25 AB image_1
8.421052631578947 F110W 18.14416283987298 1.1095627479983372 25 AB image_1
16.842105263157894 F110W 20.89546596937984 1.0789885092102118 25 AB image_1
25.263157894736842 F110W 18.79112295341033 1.0989312899693982 25 AB image_1
33.68421052631579 F110W 18.02156628265722 1.12828303196303 25 AB image_1
42.10526315789473 F110W 12.085231206169226 1.1179040967533518 25 AB image_1
50.526315789473685 F110W 6.962961065741445 1.0339735940234938 25 AB image_1
58.94736842105263 F110W 5.62540442388384 1.0359032050500712 25 AB image_1
67.36842105263158 F110W 4.0345924798153305 1.01660451026687 25 AB image_1
75.78947368421052 F110W 2.6846046764855243 1.0526764468991552 25 AB image_1
84.21052631578947 F110W 2.6381379251268933 1.009467623060933 25 AB image_1
101.05263157894737 F110W 1.4652311045299766 1.069018267671638 25 AB image_1
109.47368421052632 F110W 2.654668593215817 1.0317555732087877 25 AB image_1
117.89473684210526 F110W 2.4481269663616008 1.0712129488120514 25 AB image_1
126.3157894736842 F110W 2.5844815788528104 1.06240267941185 25 AB image_1
134.73684210526315 F110W 2.3749434950639987 1.0055093517202214 25 AB image_1
0.0 F160W 9.704215180865475 1.0479673058529326 25 AB image_1
8.421052631578947 F160W 13.072799895269512 1.10225189049263 25 AB image_1
16.842105263157894 F160W 17.891225197161233 1.083929308669734 25 AB image_1
25.263157894736842 F160W 15.258000827254387 1.0572353653800663 25 AB image_1
33.68421052631579 F160W 14.142928484658825 1.0889873933832777 25 AB image_1
42.10526315789473 F160W 9.133087438596885 1.10380401842254 25 AB image_1
50.526315789473685 F160W 10.672033110263037 1.05358904440353 25 AB image_1
58.94736842105263 F160W 10.152052390226839 1.0434013477890232 25 AB image_1
67.36842105263158 F160W 7.6435469190906415 1.0575259139938555 25 AB image_1
75.78947368421052 F160W 9.001903536381562 1.1095984293220644 25 AB image_1
84.21052631578947 F160W 4.136105731166709 1.1086683584388777 25 AB image_1
92.63157894736841 F160W 3.361829966775289 1.074708117236386 25 AB image_1
101.05263157894737 F160W 2.3313546542843953 1.0952338255910397 25 AB image_1
109.47368421052632 F160W 0.6946360860451652 1.088838824485642 25 AB image_1
117.89473684210526 F160W 2.3779217294236012 1.042417668422105 25 AB image_1
126.3157894736842 F160W 3.834499918918735 1.0138401599728672 25 AB image_1
134.73684210526315 F160W 0.623370473979624 1.0693683341393225 25 AB image_1
