col0 col1
2750.0000000000014 1.9746681082554842
2767.5876646598863 1.9594313240201608
2785.2878114827517 1.944597406613541
2803.101159849888 1.930151148243666
2821.028433743406 1.9160777641416606
2839.070361775653 1.9023628825911167
2857.22767721883 1.8889925351727075
2875.501118034782 1.87595314721964
2893.8914269050074 1.8632315284795844
2912.3993512608336 1.8508148639788577
2931.0256433137974 1.8386907050846923
2949.7710600862074 1.8268469607615125
2968.636363441927 1.8152718890172024
2987.6223201173298 1.803954088535471
3006.7297017524643 1.7928824904904717
3025.959284922406 1.7820463505399116
3045.3118511688353 1.7714352409929326
3064.788187031795 1.761039043149213
3084.389084081647 1.750847939805697
3104.1153389512606 1.7408524079274912
3123.9677533683807 1.731043211479547
3143.947134188216 1.7214113944157772
3164.0542934262194 1.7119482738223535
3184.29004829111 1.7026454332119654
3204.655221218075 1.6934947159659286
3225.1506399021996 1.6844882189210544
3245.777137332095 1.675618286098279
3266.5355518237748 1.666877502570079
3287.4267270547125 1.658258688463816
3308.451512098124 1.6497548930981547
3329.6107614574953 1.6413593892497729
3350.905335101299 1.6330656675476627
3372.33609849795 1.624867430992341
3393.903922650971 1.616758589597374
3415.609684134409 1.6087332551506242
3437.454265128449 1.6007857360927555
3459.4385534552785 1.5929105325105013
3481.563442615151 1.585102331242319
3503.8298318227257 1.5773560010940373
3526.2386260435983 1.5696665881622252
3548.7907360310887 1.5620293112629757
3571.487078363242 1.5544395574639336
3594.3285754801022 1.5468928777173385
3617.316155721192 1.5393849825920007
3640.4507533632313 1.531911738102102
3663.733308658133 1.5244691616307662
3687.1647678711984 1.5170534179464266
3710.7460833195883 1.5096608153099977
3734.4782134110087 1.5022878016709487
3758.3621226826886 1.49493096095038
3782.398781840564 1.4875870094092751
3806.589167798739 1.4802527921000999
3830.9342637191735 1.472925279400001
3855.4350590516665 1.4656015636238393
3880.092549574054 1.4582788557153912
3904.9077374326857 1.4509544820150255
3929.881631183143 1.4436258811022464
3955.0152458312486 1.4362906007114804
3980.309602874312 1.4289462947195661
4005.76573034263 1.421590720203405
4031.384662841294 1.414221734566257
4057.1674415922234 1.4068372927312325
4083.115114476492 1.399435444400524
4109.2287360769 1.3920143313789763
4135.509367720858 1.3845709220413724
4161.958077523508 1.3770968537876447
4188.575940431142 1.3695826243849438
4215.3640382648755 1.362019117216735
4242.323459764636 1.3543975909122876
4269.455300633401 1.3467096691801503
4296.760663581736 1.3389473308760822
4324.240658372594 1.3311029003004609
4351.896401866448 1.3231690377202536
4379.729018066666 1.3151387301107909
4407.739638165184 1.3070052821126263
4435.929400588505 1.2987623071988963
4464.299451043951 1.2904037190486741
4492.850942566235 1.2819237231219076
4521.58503556431 1.273316808431622
4550.50289786855 1.2645777395091387
4579.605704778203 1.2557015485581937
4608.894639109166 1.2466835277938642
4638.370891242036 1.2375192219623488
4668.035659170523 1.2282044210376806
4697.890148550115 1.2187381745865362
4727.935572747093 1.2091342478021612
4758.173152887826 1.1994103669088192
4788.6041179084295 1.1895836612794595
4819.229704604696 1.1796706774557526
4850.051157682348 1.1696873939075898
4881.069729807659 1.1596492354630192
4912.28668165834 1.1495710874155518
4943.703281974791 1.1394673093155676
4975.320807611644 1.1293517484524505
5007.140543589689 1.119237753033919
5039.1637831480775 1.1091381850689361
5071.3918277969 1.0990654329603964
5103.825987370054 1.089031423813715
5136.467580078516 1.079047635467262
5169.317932563895 1.0691251082505349
5202.37837995236 1.0592744564757803
5235.650265908883 1.049505879668703
5269.1349426918805 1.0398291735437453
5302.833771208158 1.0302537407293655
5336.748121068203 1.02078860124858
5370.879370641883 1.0114424027599425
5405.228907114444 1.002223430564057
5439.7981265429025 0.9931396173805768
5474.58843391276 0.9841985458630897
5509.601243195139 0.9754030545368073
5544.8379774042305 0.9667439809225942
5580.300068655139 0.9582104909912426
5615.988958222062 0.9497921153274836
5651.906096596908 0.9414787398550162
5688.05294354822 0.9332605967694619
5724.430968180516 0.9251282556748723
5761.041648993978 0.9170726149195217
5797.8864739445735 0.9090848931267898
5834.966940504514 0.901156620917042
5872.284555723099 0.8932796328164916
5909.840836288002 0.8854460593490852
5947.6373085868845 0.8776483193075795
5985.675508769453 0.8698791122000118
6023.956982809862 0.8621317517573266
6062.4832865695835 0.8544043876599203
6101.255985860624 0.8466985127926198
6140.276656509144 0.8390156378488934
6179.546884419546 0.8313572184754024
6219.068265638894 0.8237246566631797
6258.8424064218 0.8161193021079456
6298.870923295703 0.8085424535402113
6339.155443126548 0.8009953600258078
6379.697603184946 0.7934792222374354
6420.499051212694 0.7859951936978629
6461.561445489727 0.7785443819953557
6502.886454901551 0.7711278499719039
6544.475759007048 0.76374661688484
6586.33104810675 0.7564016595423866
6628.45402331151 0.7490939134136898
6670.8463966116815 0.7418242737138583
6713.509890946673 0.7345935964645521
6756.4462402749605 0.7274026995306251
6799.657189644597 0.7202523636333104
6843.144495264104 0.7131433333404718
6886.909924573865 0.7060763180343731
6930.9552563179595 0.6990519928574621
6975.282280616428 0.6920709996366194
7019.892799038072 0.6851339477863245
7064.788624673651 0.6782414151911986
7109.971582209553 0.6713939490683467
7155.443508001995 0.6645920668099293
7201.2062501516275 0.657836256806385
7247.261668578666 0.6511269792507107
7293.6116350984485 0.6444646669242083
7340.258033497556 0.6378497259640757
7387.202759610357 0.6312825366132456
7434.447721396032 0.6247634539528417
7481.994839016163 0.6182928086176175
7529.846044912747 0.6118709074947496
7578.003283886743 0.6054980344063348
7626.468513177117 0.5991744507759377
7675.243702540365 0.5929003962795418
7724.33083433061 0.5866760894812109
