  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S3                177.39737    22.39554  56966.487   F105W   inf     0.7683   0.1494     26.5549   0.2111     AB   26.2688  -0.0005 0.0185  refsdal_f105w_e01-e00_sub_masked.fits
S3                177.39737    22.39554  56972.058   F105W   inf     1.4235   0.2327     25.8854   0.1775     AB   26.2688  -0.0011 0.0285  refsdal_f105w_e02-e00_sub_masked.fits
S3                177.39737    22.39554  56982.306   F105W   inf     0.9952   0.1900     26.2740   0.2073     AB   26.2688   0.0033 0.0128  refsdal_f105w_e03-e00_sub_masked.fits
S3                177.39737    22.39554  56982.306   F105W   inf     1.0143   0.1796     26.2534   0.1922     AB   26.2688   0.0033 0.0140  refsdal_f105w_e05-e00_sub_masked.fits
S3                177.39737    22.39554  57002.868   F105W   inf     1.6818   0.1147     25.7044   0.0740     AB   26.2688   0.0001 0.0081  refsdal_f105w_e11-e00_sub_masked.fits
S3                177.39737    22.39554  57006.982   F105W   inf     1.6847   0.0872     25.7025   0.0562     AB   26.2688   0.0008 0.0078  refsdal_f105w_e12-e00_sub_masked.fits
S3                177.39737    22.39554  57011.893   F105W   inf     1.8944   0.0650     25.5751   0.0372     AB   26.2688   0.0003 0.0077  refsdal_f105w_e13-e00_sub_masked.fits
S3                177.39737    22.39554  57014.879   F105W   inf     1.9226   0.0859     25.5591   0.0485     AB   26.2688   0.0005 0.0083  refsdal_f105w_e14-e00_sub_masked.fits
S3                177.39737    22.39554  57015.808   F105W   inf     1.9036   0.0799     25.5699   0.0455     AB   26.2688   0.0001 0.0081  refsdal_f105w_e15-e00_sub_masked.fits
S3                177.39737    22.39554  57006.982   F105W   inf     1.6305   0.0953     25.7380   0.0635     AB   26.2688   0.0008 0.0087  refsdal_f105w_e16-e00_sub_masked.fits
S3                177.39737    22.39554  57017.798   F105W   inf     1.7010   0.1040     25.6921   0.0664     AB   26.2688   0.0007 0.0081  refsdal_f105w_e17-e00_sub_masked.fits
S3                177.39737    22.39554  57020.583   F105W   inf     2.0098   0.0799     25.5109   0.0431     AB   26.2688   0.0002 0.0077  refsdal_f105w_e19-e00_sub_masked.fits
S3                177.39737    22.39554  57023.766   F105W   inf     2.0777   0.0918     25.4748   0.0480     AB   26.2688   0.0010 0.0075  refsdal_f105w_e20-e00_sub_masked.fits
S3                177.39737    22.39554  57025.557   F105W   inf     2.1725   0.0775     25.4264   0.0387     AB   26.2688   0.0002 0.0077  refsdal_f105w_e21-e00_sub_masked.fits
S3                177.39737    22.39554  57026.485   F105W   inf     2.2476   0.1189     25.3895   0.0574     AB   26.2688   0.0008 0.0080  refsdal_f105w_e22-e00_sub_masked.fits
S3                177.39737    22.39554  57027.812   F105W   inf     2.1617   0.0837     25.4318   0.0420     AB   26.2688   0.0016 0.0079  refsdal_f105w_e23-e00_sub_masked.fits
S3                177.39737    22.39554  57020.583   F105W   inf     1.8254   0.0880     25.6154   0.0523     AB   26.2688   0.0003 0.0086  refsdal_f105w_e24-e00_sub_masked.fits
S3                177.39737    22.39554  57023.766   F105W   inf     1.6750   0.0705     25.7088   0.0457     AB   26.2688   0.0011 0.0083  refsdal_f105w_e25-e00_sub_masked.fits
S3                177.39737    22.39554  57025.557   F105W   inf     1.9128   0.0766     25.5647   0.0435     AB   26.2688   0.0004 0.0085  refsdal_f105w_e26-e00_sub_masked.fits
