  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S4                177.39780    22.39518  57005.862   F125W   inf     0.7709   0.2346     26.5127   0.3304     AB   26.2302  -0.0006 0.0199  refsdal_f125w_e12-e100_sub_masked.fits
S4                177.39780    22.39518  56999.816   F125W   inf     0.2749   0.2154     27.6324   0.8509     AB   26.2302   0.0021 0.0253  refsdal_f125w_e13-e00_sub_masked.fits
S4                177.39780    22.39518  57005.862   F125W   inf     0.6851   0.2423     26.6408   0.3840     AB   26.2302  -0.0030 0.0199  refsdal_f125w_e15-e00_sub_masked.fits
S4                177.39780    22.39518  57019.942   F125W   inf     0.7600   0.3942     26.5281   0.5630     AB   26.2302  -0.0042 0.0474  refsdal_f125w_e18-e100_sub_despiked.fits
S4                177.39780    22.39518  57021.301   F125W   inf     0.6360   0.3318     26.7217   0.5665     AB   26.2302  -0.0021 0.0362  refsdal_f125w_e19-e100_sub_despiked.fits
S4                177.39780    22.39518  57025.811   F125W   inf     0.6520   0.3723     26.6945   0.6198     AB   26.2302   0.0002 0.0252  refsdal_f125w_e21-e00_sub_masked.fits
S4                177.39780    22.39518  57026.905   F125W   inf     1.0618   0.4753     26.1651   0.4860     AB   26.2302   0.0002 0.0320  refsdal_f125w_e22-e00_sub_masked.fits
S4                177.39780    22.39518  57019.942   F125W   inf     1.1850   0.3049     26.0459   0.2794     AB   26.2302   0.0004 0.0353  refsdal_f125w_e23-e00_sub_masked.fits
S4                177.39780    22.39518  57029.544   F125W   inf     0.8276   0.2343     26.4357   0.3074     AB   26.2302  -0.0030 0.0184  refsdal_f125w_e24-e00_sub_masked.fits
S4                177.39780    22.39518  57033.945   F125W   inf     1.4460   0.1666     25.8298   0.1251     AB   26.2302  -0.0075 0.0229  refsdal_f125w_e25-e00_sub_masked.fits
S4                177.39780    22.39518  57036.599   F125W   inf     1.0417   0.2614     26.1859   0.2724     AB   26.2302  -0.0066 0.0235  refsdal_f125w_e26-e00_sub_masked.fits
S4                177.39780    22.39518  57044.689   F125W   inf     1.7332   0.1790     25.6331   0.1122     AB   26.2302  -0.0051 0.0200  refsdal_f125w_e27-e00_sub_masked.fits
S4                177.39780    22.39518  57049.198   F125W   inf     1.0940   0.2259     26.1327   0.2242     AB   26.2302  -0.0057 0.0198  refsdal_f125w_e28-e00_sub_masked.fits
S4                177.39780    22.39518  57062.359   F125W   inf     1.5922   0.2190     25.7252   0.1493     AB   26.2302  -0.0010 0.0205  refsdal_f125w_e29-e00_sub_masked.fits
S4                177.39780    22.39518  57076.391   F125W   inf     1.2583   0.2485     25.9808   0.2145     AB   26.2302  -0.0030 0.0219  refsdal_f125w_e30-e00_sub_masked.fits
S4                177.39780    22.39518  57090.387   F125W   inf     1.4951   0.1700     25.7935   0.1234     AB   26.2302  -0.0021 0.0203  refsdal_f125w_e31-e00_sub_masked.fits
S4                177.39780    22.39518  57104.270   F125W   inf     1.3495   0.2021     25.9048   0.1626     AB   26.2302  -0.0080 0.0226  refsdal_f125w_e32-e00_sub_masked.fits
S4                177.39780    22.39518  57118.141   F125W   inf     1.6038   0.1449     25.7174   0.0981     AB   26.2302  -0.0076 0.0215  refsdal_f125w_e33-e00_sub_masked.fits
S4                177.39780    22.39518  57132.086   F125W   inf     1.5819   0.2759     25.7323   0.1893     AB   26.2302  -0.0068 0.0251  refsdal_f125w_e34-e00_sub_masked.fits
S4                177.39780    22.39518  57076.391   F125W   inf     1.2700   0.2501     25.9707   0.2138     AB   26.2302  -0.0021 0.0245  refsdal_f125w_e35-e00_sub_masked.fits
S4                177.39780    22.39518  57090.387   F125W   inf     1.5304   0.1560     25.7682   0.1106     AB   26.2302  -0.0031 0.0228  refsdal_f125w_e36-e00_sub_masked.fits
S4                177.39780    22.39518  57104.270   F125W   inf     1.3483   0.2683     25.9057   0.2160     AB   26.2302  -0.0077 0.0228  refsdal_f125w_e37-e00_sub_masked.fits
S4                177.39780    22.39518  57149.055   F125W   inf     1.5589   0.2651     25.7482   0.1846     AB   26.2302  -0.0043 0.0249  refsdal_f125w_e38-e00_sub_masked.fits
S4                177.39780    22.39518  57132.086   F125W   inf     1.5475   0.3228     25.7562   0.2265     AB   26.2302  -0.0066 0.0262  refsdal_f125w_e39-e00_sub_masked.fits
S4                177.39780    22.39518  57188.18    F125W   inf     1.7551   0.2477     25.6195   0.1532     AB   26.2302  -0.0036 0.0291  refsdal_f125w_e40-e100_sub_despiked.fits
S4                177.39780    22.39518  57216.21    F125W   inf     1.8561   0.2532     25.5587   0.1481     AB   26.2302  -0.0055 0.0294  refsdal_f125w_e42-e100_sub_despiked.fits
S4                177.39780    22.39518  57223.97    F125W   inf     1.1465   0.2663     26.0818   0.2522     AB   26.2302   0.0016 0.0259  refsdal_f125w_e43-e100_sub_masked.fits
S4                177.39780    22.39518  57325.83    F125W   inf     0.2903   0.3376     27.5731   1.2628     AB   26.2302  -0.0006 0.0313  refsdal_f125w_e44-e100_sub_despiked.fits
S4                177.39780    22.39518  57340.937   F125W   inf     0.4433   0.4097     27.1135   1.0034     AB   26.2302  -0.0030 0.0251  refsdal_f125w_e45-e00_sub_masked.fits
S4                177.39780    22.39518  57367.044   F125W   inf     0.2114   0.3220     27.9174   1.6538     AB   26.2302  -0.0043 0.0244  refsdal_f125w_e46-e00_sub_masked.fits
S4                177.39780    22.39518  57402.112   F125W   inf     0.5636   0.2389     26.8528   0.4603     AB   26.2302  -0.0046 0.0216  refsdal_f125w_e47-e00_sub_masked.fits
S4                177.39780    22.39518  57428.433   F125W   inf     0.5112   0.1933     26.9587   0.4105     AB   26.2302  -0.0054 0.0172  refsdal_f125w_e48-e00_sub_masked.fits
S4                177.39780    22.39518  57444.575   F125W   inf     0.0435   0.2958     29.6349   7.3885     AB   26.2302  -0.0019 0.0207  refsdal_f125w_e49-e00_sub_masked.fits
S4                177.39780    22.39518  57459.026   F125W   inf     0.2412   0.1796     27.7743   0.8084     AB   26.2302  -0.0048 0.0211  refsdal_f125w_e50-e00_sub_masked.fits
S4                177.39780    22.39518  57472.528   F125W   inf     0.2486   0.2583     27.7415   1.1280     AB   26.2302  -0.0077 0.0205  refsdal_f125w_e51-e00_sub_masked.fits
S4                177.39780    22.39518  57493.261   F125W   inf     0.2406   0.2594     27.7768   1.1705     AB   26.2302  -0.0056 0.0205  refsdal_f125w_e52-e00_sub_masked.fits
S4                177.39780    22.39518  57507.527   F125W   inf     0.1926   0.2433     28.0187   1.3717     AB   26.2302  -0.0044 0.0225  refsdal_f125w_e53-e00_sub_masked.fits
S4                177.39780    22.39518  57521.267   F125W   inf     0.3176   0.2596     27.4755   0.8874     AB   26.2302  -0.0058 0.0226  refsdal_f125w_e54-e00_sub_masked.fits
S4                177.39780    22.39518  57524.475   F125W   inf     0.4706   0.2978     27.0487   0.6871     AB   26.2302  -0.0072 0.0199  refsdal_f125w_e55-e00_sub_masked.fits
